x,y
-0.5,0.5347846891564902
-0.5729490168751578,0.587785252292473
-0.47213595499957944,0.4490279765795852
-0.5,0.36327126400268045
-0.6008130618755784,0.502028539715568
-0.5729490168751579,0.41627182713866306
-0.7360679774997897,0.5347846891564905
-0.6631189606246319,0.5877852522924734
-0.5,0.6407858154284559
-0.47213595499957944,0.7265425280053609
-0.6008130618755785,0.673541964869378
-0.4098300562505258,0.8122992405822659
-0.33688103937536806,0.8652998037182488
-0.39918693812442196,0.673541964869378
-0.3991869381244217,0.502028539715568
-0.3090169943749475,0.502028539715568
-0.3368810393753683,0.41627182713866306
-0.4098300562505258,0.36327126400268045
-0.20820393249936917,0.36327126400268045
-0.23606797749978997,0.44902797657958543
-0.3368810393753683,0.587785252292473
-0.30901699437494773,0.6735419648693778
-0.23606797749978972,0.7265425280053607
-0.23606797749978972,0.5550291028515509
-0.20820393249936917,0.6407858154284559
-0.14589803375031554,0.4490279765795852
-0.3090169943749475,0.7795430911413436
-0.14589803375031554,0.27751455142577547
-0.07294901687515777,0.2245139882897926
-0.23606797749978972,0.27751455142577547
-0.3090169943749475,0.2245139882897926
-0.14589803375031554,0.17151342515380974
-0.23606797749978972,0.17151342515381
-0.07294901687515777,0.053000563135982726
-0.04508497187473722,0.13875727571288785
-0.3368810393753683,0.3102707008666976
-0.663118960624632,0.3102707008666976
-0.7360679774997898,0.36327126400268045
-0.5729490168751578,0.3102707008666976
-0.6631189606246318,0.4162718271386633
-0.7639320225002103,0.4490279765795852
-0.7639320225002103,0.27751455142577547
-0.8368810393753681,0.2245139882897926
-0.8262379212492641,0.36327126400268045
-0.8991869381244215,0.1387572757128876
-0.9270509831248422,0.053000563135982726
-0.7639320225002103,0.17151342515381
-0.6008130618755784,0.22451398828979285
-0.5729490168751576,0.13875727571288785
-0.5,0.19175783884887046
-0.47213595499957933,0.27751455142577547
-0.4098300562505258,0.085756712576905
-0.5000000000000001,0.08575671257690487
-0.663118960624632,0.13875727571288785
-0.7360679774997896,0.08575671257690487
-0.7639320225002103,-1.2631870857957337e-16
-0.6008130618755784,0.05300056313598285
-0.6737620787507361,0
